Feature,value_MI
T86749,0.1271066496106105781
M35531,0.1270021917356296548
J04102,0.1255408012917909044
M14764,0.1253435523042198962
H01346,0.1248053666641666393
X12466,0.1246930685679972228
X52541,0.1245520341028341083
H20426,0.1243375756222468986
X80507,0.1237868527923620121
R83923,0.1235301393309395923
R37464,0.1235043586599977594
X14958,0.1230773288800068865
X12369,0.1229264389629489695
X62025,0.1225181137221398320
Z24727,0.1223066823754506149
R72104,0.1219312453933361073
H49515,0.1216166406432470648
X14767,0.1211879922307279589
U10362,0.1204936915074701353
T90350,0.1201333121437899720
M81695,0.1197888023946316327
L28010,0.1195066025156570344
D25217,0.1194654731389139801
Z11502,0.1192573446051088393
X87342,0.1189419789671621874
X54942,0.1187432595440598426
M91463,0.1185977210858444320
U26710,0.1183910132240717505
M34344,0.1181750935228578214
U20972,0.1179607758986729316
T52342,0.1177696267865013802
Z29677,0.1171181465693265089
U21128,0.1169449234715300712
L35249,0.1169293252704479702
H06524,0.1167273347880775081
X81372,0.1166698848900400431
M24470,0.1166453956221920052
T74257,0.1164195080267602656
M83221,0.1161253735295890710
R20554,0.1159392535142473868
T79595,0.1152672552616038626
R42127,0.1152346299256228335
X72727,0.1148111204507549221
H04311,0.1146375758012794233
T52015,0.1145893489385361175
M20543,0.1143389720752561178
H85528,0.1142806075007625211
M57567,0.1141249611757613192
U29092,0.1137885816055108634
X57974,0.1134878966274064371
H61410,0.1134468405090063303
T51023,0.1131717029644387917
L05144,0.1130624931778096975
T52185,0.1128470368546679037
T59954,0.1124684859305764562
X15880,0.1124215073756584804
Z11692,0.1123618273561763914
R39010,0.1123286615972034497
D63878,0.1120156233809399549
X12496,0.1116672743421383007
H16991,0.1104289036490586629
U37673_,0.1099903156798853754
R75843,0.1098323228105424487
T48804,0.1096448534698475363
X65873,0.1095793433948497597
U10868,0.1095496993923703588
M55422,0.1089302231181201730
L06132,0.1089172432664307077
M87772,0.1086051383883865906
T67077,0.1080850491586200501
R20666,0.1079092393053906473
T47584,0.1077007866563606253
J04794,0.1076899759101310750
D13315_,0.1073555433176338614
X68314,0.1071776745913781692
R09502,0.1068927171694487033
D31887,0.1066504556580871732
X70326,0.1056838055571867052
M86553,0.1055968181718121013
X75208,0.1055189200082999879
H20512,0.1051584506675051767
T51574,0.1049394492388264766
R42501,0.1048205287181889211
X89986,0.1046746843062542620
T71001,0.1042073026693932647
T91121,0.1038309666481456173
U18300,0.1036758896379803563
H04235,0.1034485359026866558
M64673,0.1031759573543666875
D55673,0.1028434111845339949
M21186,0.1025620393305817224
T60437,0.1017290014007692367
H06061,0.1015009140759079997
M59040,0.1012256964619804300
T70595,0.1012063162006646699
R54422,0.1011867121488025933
D29641,0.1007124999810422583
R52000,0.1003569191819126960
D00860,0.1002784358373005613
R82938,0.1001376268255238511
X06614,0.1000604190870260091
H72234,0.0993394936388707350
H05803,0.0991247731917024311
T98555,0.0990574727923339005
H09665,0.0988951144137815152
X87838,0.0987862004740978072
T47645,0.0987349524389784516
T51613,0.0984839265831138899
X70297,0.0984595557926142284
T92259,0.0981538513241961841
T48939,0.0981139336727983036
T70062,0.0977423311333889266
T53396_,0.0976748151883886084
R37114,0.0973149948401783593
M75126,0.0970292763189213314
M65028,0.0969116413414741196
H64489,0.0960488681048083937
X04106,0.0960479888649179436
H02258,0.0956567582317520149
M55265,0.0942084529528015580
M14200_,0.0939404637735223869
X53586,0.0937316297762436079
U17899,0.0932548383394447011
L13939,0.0929241687538064909
U28686,0.0929119158403248768
T77537,0.0921559579567585718
M69135,0.0919898175179723054
R39209_,0.0919272998861750956
L27670,0.0917371803701736432
M29065,0.0915877919355563286
H66786,0.0913113276766441828
U31525,0.0901766069261737968
X61123,0.0901241859653088007
M22050,0.0900046146763826549
M19159,0.0899621839887909669
T67905,0.0899146061186322232
X74262,0.0898319553506223833
T55248,0.0894739625328273558
R20804,0.0892627490151618463
M90104,0.0889923652770363560
D00761,0.0888553988805822481
H15813,0.0888156777214417215
J00073,0.0887352970764201388
R52271,0.0886851696568731196
X55177,0.0885089553178199928
X80754,0.0883608217731020051
H45299,0.0883222916230919086
M27749,0.0880261494739886796
X78817,0.0879801731763847350
R47976,0.0878338911346914220
M63239,0.0875949516311709253
M86737,0.0874068092559967535
R11485,0.0869840241557924276
M88108,0.0868984242718051636
T61627,0.0868684139595370386
M80461,0.0867641947020918458
T61661,0.0864176550410360456
T49732,0.0862193542378963951
R39465,0.0861529555827882376
J05272,0.0861523289692585070
H82100,0.0861474437532725457
