Feature,value_boruta
MFCC_7th coef,73
Shimmer->Ampl_dif_percent,73
Shimmer->Ampl_CV,73
Jitter->F0_CV,73
VFER->NSR_SEO,73
IMF->SNR_SEO,73
det_TKEO_std3_9_coef,73
IMF->SNR_entropy,73
det_TKEO_mean4_9_coef,189
det_TKEO_mean2_9_coef,189
det_TKEO_std4_2_coef,189
det_TKEO_std4_3_coef,189
det_TKEO_std4_1_coef,189
det_TKEO_mean4_10_coef,189
det_TKEO_mean4_7_coef,189
det_TKEO_std4_4_coef,189
det_TKEO_mean4_6_coef,189
Ed2_6_coef,189
det_TKEO_mean4_5_coef,189
det_TKEO_mean4_4_coef,189
det_TKEO_mean4_3_coef,189
det_TKEO_mean4_2_coef,189
det_TKEO_mean4_1_coef,189
Ed2_7_coef,189
Ed2_8_coef,189
Ed2_9_coef,189
det_TKEO_mean4_8_coef,189
det_TKEO_std4_5_coef,189
Ed2_3_coef,189
det_TKEO_std4_6_coef,189
det_TKEO_mean2_10_coef,189
det_TKEO_std2_1_coef,189
det_TKEO_std2_2_coef,189
det_TKEO_std2_3_coef,189
det_TKEO_std2_4_coef,189
det_TKEO_std2_5_coef,189
det_TKEO_std2_6_coef,189
det_TKEO_std4_10_coef,189
det_TKEO_std2_7_coef,189
det_TKEO_std2_8_coef,189
det_TKEO_std2_9_coef,189
det_TKEO_std2_10_coef,189
det_TKEO_std4_9_coef,189
Ea2,189
Ed2_1_coef,189
Ed2_2_coef,189
det_TKEO_std4_8_coef,189
Ed2_10_coef,189
det_TKEO_std4_7_coef,189
Ed2_4_coef,189
entropy_shannon3_1_coef,189
entropy_log4_7_coef,189
entropy_log4_10_coef,189
entropy_log3_2_coef,189
entropy_log3_3_coef,189
entropy_log3_4_coef,189
entropy_log3_5_coef,189
det_TKEO_std3_8_coef,189
entropy_log3_6_coef,189
entropy_log3_7_coef,189
entropy_log3_8_coef,189
entropy_log3_9_coef,189
det_TKEO_std3_10_coef,189
det_TKEO_mean3_1_coef,189
det_TKEO_mean3_2_coef,189
det_TKEO_std3_4_coef,189
det_TKEO_mean3_3_coef,189
det_TKEO_std3_3_coef,189
det_TKEO_mean3_4_coef,189
det_TKEO_std3_2_coef,189
det_TKEO_mean3_6_coef,189
det_TKEO_mean3_8_coef,189
det_TKEO_mean3_9_coef,189
det_TKEO_std3_5_coef,189
entropy_log3_1_coef,189
entropy_shannon3_10_coef,189
entropy_shannon4_1_coef,189
entropy_log4_9_coef,189
entropy_log4_8_coef,189
det_TKEO_std3_1_coef,189
entropy_log4_6_coef,189
