Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
tqwt_kurtosisValue_dec_19,321,350,325,321,325.0,332.0,331.5162290988878
tqwt_TKEO_std_dec_17,322,26,21,21,26.0,123.0,33.637499999999996
stdDevPeriodPulses,323,130,257,130,257.0,236.66666666666666,204.3689516510848
det_LT_TKEO_mean_5_coef,324,222,123,123,222.0,223.0,190.82748802898925
app_det_TKEO_mean_3_coef,325,578,640,325,578.0,514.3333333333334,470.9925956880004
tqwt_kurtosisValue_dec_17,326,169,211,169,211.0,235.33333333333334,218.59546568550635
tqwt_TKEO_mean_dec_5,327,541,550,327,541.0,472.6666666666667,446.1155848859939
tqwt_kurtosisValue_dec_16,328,393,434,328,393.0,385.0,379.8691044728825
std_MFCC_12th_coef,329,103,163,103,163.0,198.33333333333334,158.87120217059913
Ed_2_coef,330,624,613,330,613.0,522.3333333333334,478.91279109472106
tqwt_skewnessValue_dec_20,331,295,316,295,316.0,314.0,313.2984048656168
tqwt_entropy_log_dec_18,332,746,619,332,619.0,565.6666666666666,502.6776253232403
tqwt_stdValue_dec_9,333,696,745,333,696.0,591.3333333333334,518.845641859305
tqwt_maxValue_dec_15,334,466,504,334,466.0,434.6666666666667,421.1080874090086
mean_0th_delta,335,334,348,334,335.0,339.0,338.8815846731379
tqwt_TKEO_mean_dec_19,336,657,711,336,657.0,568.0,508.06723962126733
tqwt_kurtosisValue_dec_23,337,156,381,156,337.0,291.3333333333333,249.95235540026206
app_TKEO_std_3_coef,338,596,632,338,596.0,522.0,482.41510806632516
tqwt_kurtosisValue_dec_1,339,396,374,339,374.0,369.6666666666667,368.14776576867234
tqwt_medianValue_dec_3,340,355,354,340,354.0,349.6666666666667,349.5307174215363
tqwt_entropy_shannon_dec_32,341,293,266,266,293.0,300.0,296.885108189323
tqwt_skewnessValue_dec_27,342,279,205,205,279.0,275.3333333333333,263.47557279670264
tqwt_maxValue_dec_35,343,562,628,343,562.0,511.0,477.1623716013275
tqwt_medianValue_dec_7,344,275,305,275,305.0,308.0,305.43587572116655
tqwt_entropy_log_dec_9,345,444,506,345,444.0,431.6666666666667,420.929303022733
Ed_4_coef,346,609,609,346,609.0,521.3333333333334,485.8893159108378
tqwt_medianValue_dec_21,347,110,60,60,110.0,172.33333333333334,104.75072419576155
tqwt_medianValue_dec_22,348,58,16,16,58.0,140.66666666666666,36.313043478260866
tqwt_TKEO_std_dec_36,349,656,673,349,656.0,559.3333333333334,510.58581766004755
tqwt_minValue_dec_20,350,434,383,350,383.0,389.0,385.9882964889467
tqwt_TKEO_std_dec_31,351,335,285,285,335.0,323.6666666666667,321.1011833469075
tqwt_maxValue_dec_19,352,539,543,352,539.0,478.0,458.86874295699886
std_MFCC_4th_coef,353,56,124,56,124.0,177.66666666666666,104.33142273423756
tqwt_energy_dec_29,354,590,559,354,559.0,501.0,475.5350849086831
tqwt_energy_dec_30,355,244,138,138,244.0,245.66666666666666,211.83988847012674
tqwt_meanValue_dec_5,356,263,135,135,263.0,251.33333333333334,214.00021445542433
tqwt_stdValue_dec_24,357,564,697,357,564.0,539.3333333333334,499.2602358633203
std_MFCC_7th_coef,358,299,294,294,299.0,317.0,314.49381745502995
det_entropy_log_10_coef,359,711,712,359,711.0,594.0,536.051283614315
tqwt_stdValue_dec_1,360,632,737,360,632.0,576.3333333333334,524.7591547885302
tqwt_entropy_log_dec_3,361,721,583,361,583.0,555.0,510.872079830589
det_TKEO_mean_1_coef,362,352,347,347,352.0,353.6666666666667,353.5574307935882
tqwt_energy_dec_33,363,44,59,44,59.0,155.33333333333334,70.702613480055
tqwt_maxValue_dec_23,364,460,499,364,460.0,441.0,433.2021236882492
tqwt_entropy_log_dec_7,365,325,256,256,325.0,315.3333333333333,308.5499466580868
mean_MFCC_6th_coef,366,42,110,42,110.0,172.66666666666666,84.19239195379407
tqwt_maxValue_dec_34,367,568,607,367,568.0,514.0,489.17253457147615
mean_2nd_delta,368,57,93,57,93.0,172.66666666666666,96.73069866613776
tqwt_kurtosisValue_dec_20,369,251,284,251,284.0,301.3333333333333,293.6795001097883
tqwt_skewnessValue_dec_28,370,61,131,61,131.0,187.33333333333334,112.23456618289026
Ed_10_coef,371,529,529,371,529.0,476.3333333333333,463.2391817466562
GNE_SNR_SEO,372,271,275,271,275.0,306.0,299.56345876090006
tqwt_TKEO_mean_dec_4,373,535,552,373,535.0,486.6666666666667,471.5707128291553
mean_11th_delta,374,232,323,232,323.0,309.6666666666667,297.6155975448309
tqwt_minValue_dec_23,375,661,554,375,554.0,530.0,501.2883007085502
tqwt_entropy_log_dec_1,376,175,297,175,297.0,282.6666666666667,255.5178320047767
tqwt_meanValue_dec_35,377,515,524,377,515.0,472.0,461.349349948531
tqwt_entropy_shannon_dec_34,378,48,51,48,51.0,159.0,69.62708803611739
tqwt_minValue_dec_2,379,499,485,379,485.0,454.3333333333333,447.46826169889965
tqwt_energy_dec_4,380,105,75,75,105.0,186.66666666666666,117.69911504424778
meanNoiseToHarmHarmonicity,381,238,158,158,238.0,259.0,228.04208404074703
tqwt_skewnessValue_dec_35,382,309,295,295,309.0,328.6666666666667,324.539133784636
tqwt_maxValue_dec_5,383,685,575,383,575.0,547.6666666666666,516.3555173967859
tqwt_stdValue_dec_21,384,555,722,384,555.0,553.6666666666666,518.0443462861837
tqwt_medianValue_dec_33,385,71,53,53,71.0,169.66666666666666,84.38857930605984
det_TKEO_std_3_coef,386,697,735,386,697.0,606.0,557.0060382311766
tqwt_meanValue_dec_23,387,246,195,195,246.0,276.0,254.72893426089823
tqwt_TKEO_std_dec_32,388,186,133,133,186.0,235.66666666666666,193.89288263416606
meanHarmToNoiseHarmonicity,389,380,444,380,389.0,404.3333333333333,402.4401131513972
tqwt_minValue_dec_34,390,171,57,57,171.0,206.0,115.58058925476605
std_MFCC_9th_coef,391,282,322,282,322.0,331.6666666666667,325.759988745076
std_MFCC_1st_coef,392,123,218,123,218.0,244.33333333333334,196.48607355158705
tqwt_meanValue_dec_13,393,340,258,258,340.0,330.3333333333333,320.4554834631616
Ed2_2_coef,394,421,139,139,394.0,318.0,247.77799748530407
tqwt_TKEO_mean_dec_32,395,199,405,199,395.0,333.0,299.2247983081382
tqwt_kurtosisValue_dec_34,396,378,397,378,396.0,390.3333333333333,390.1349509591523
tqwt_meanValue_dec_10,397,148,186,148,186.0,243.66666666666666,204.7503091315589
tqwt_entropy_shannon_dec_9,398,379,382,379,382.0,386.3333333333333,386.15573565416304
tqwt_entropy_shannon_dec_10,399,433,460,399,433.0,430.6666666666667,429.20619204409826
tqwt_entropy_shannon_dec_4,400,522,488,400,488.0,470.0,464.0450802749508
tqwt_stdValue_dec_4,401,707,740,401,707.0,616.0,570.391643488876
mean_MFCC_10th_coef,402,190,212,190,212.0,268.0,240.62174317925144
tqwt_maxValue_dec_21,403,602,545,403,545.0,516.6666666666666,501.89200474231683
tqwt_medianValue_dec_6,404,676,678,404,676.0,586.0,552.540758188242
std_2nd_delta,405,462,470,405,462.0,445.6666666666667,443.70181634712407
tqwt_minValue_dec_3,406,62,15,15,62.0,161.0,35.18700298210736
mean_4th_delta,407,290,364,290,364.0,353.6666666666667,346.7193561056443
tqwt_kurtosisValue_dec_12,408,344,309,309,344.0,353.6666666666667,349.0725048293625
mean_delta_log_energy,409,233,250,233,250.0,297.3333333333333,279.4119946676466
tqwt_TKEO_mean_dec_28,410,170,180,170,180.0,253.33333333333334,216.18609994256175
tqwt_entropy_shannon_dec_21,411,205,86,86,205.0,234.0,158.40291187851142
tqwt_maxValue_dec_2,412,495,415,412,415.0,440.6666666666667,437.5075170803574
tqwt_maxValue_dec_36,413,128,88,88,128.0,209.66666666666666,138.90532685723386
tqwt_stdValue_dec_28,414,638,701,414,638.0,584.3333333333334,554.5911236601224
det_LT_TKEO_mean_3_coef,415,648,633,415,633.0,565.3333333333334,542.2378660414803
tqwt_maxValue_dec_4,416,487,473,416,473.0,458.6666666666667,456.5237831322622
det_LT_entropy_shannon_3_coef,417,613,664,417,613.0,564.6666666666666,541.9636098903613
